id,parent_id,name,created_at,updated_at
"130105","130100",游艺室,2016/10/1,2016/10/1
"130106","130100",其他,2016/10/1,2016/10/1
"130200","130000",电影演出,2016/10/1,2016/10/1
"130201","130200",电影院,2016/10/1,2016/10/1
"130202","130200",剧院,2016/10/1,2016/10/1
"130203","130200",展览/展会,2016/10/1,2016/10/1
"130204","130200",其他,2016/10/1,2016/10/1
"130300","130000",户外拓展,2016/10/1,2016/10/1
"130301","130300",CS拓展,2016/10/1,2016/10/1
"130302","130300",拓展训练,2016/10/1,2016/10/1
"130303","130300",采摘,2016/10/1,2016/10/1
"130304","130300",其他,2016/10/1,2016/10/1
"130400","130000",文化艺术,2016/10/1,2016/10/1
"130401","130400",博物馆,2016/10/1,2016/10/1
"130402","130400",美术馆,2016/10/1,2016/10/1
"130403","130400",科普展览,2016/10/1,2016/10/1
"130404","130400",动漫秀,2016/10/1,2016/10/1
"130405","130400",其他,2016/10/1,2016/10/1
"130500","130000",棋牌/桌游,2016/10/1,2016/10/1
"130600","130000",轰趴馆,2016/10/1,2016/10/1
"130700","130000",密室,2016/10/1,2016/10/1
"130800","130000",动物园/植物园/海洋馆,2016/10/1,2016/10/1
"130900","130000",网吧网咖,2016/10/1,2016/10/1
"131000","130000",茶馆,2016/10/1,2016/10/1
"131100","130000",歌舞厅,2016/10/1,2016/10/1
"131200","130000",KTV,2016/10/1,2016/10/1
"131300","130000",其他,2016/10/1,2016/10/1
"131400","130000",酒吧,2016/10/1,2016/10/1
"131401","131400",酒馆,2016/10/1,2016/10/1
"131402","131400",音乐酒吧,2016/10/1,2016/10/1
"131403","131400",主题酒吧,2016/10/1,2016/10/1
"131404","131400",雅座酒吧,2016/10/1,2016/10/1
"131405","131400",其他,2016/10/1,2016/10/1
"131500","130000",会所,2016/10/1,2016/10/1
"131501","131500",商业会所,2016/10/1,2016/10/1
"131502","131500",娱乐会所,2016/10/1,2016/10/1
"131503","131500",其他,2016/10/1,2016/10/1
"140000","100000",教育培训,2016/10/1,2016/10/1
"140100","140000",语言培训,2016/10/1,2016/10/1
"140101","140100",英语学习,2016/10/1,2016/10/1
"140102","140100",小语种学习,2016/10/1,2016/10/1
"140103","140100",汉语学习,2016/10/1,2016/10/1
"140104","140100",其他,2016/10/1,2016/10/1
"140200","140000",中小幼培训,2016/10/1,2016/10/1
"140201","140200",学前教育,2016/10/1,2016/10/1
"140202","140200",小学辅导,2016/10/1,2016/10/1
"140203","140200",初中辅导,2016/10/1,2016/10/1
"140204","140200",高中辅导,2016/10/1,2016/10/1
"140205","140200",其他,2016/10/1,2016/10/1
"140300","140000",学历/职业考试,2016/10/1,2016/10/1
"140301","140300",财务/会计培训,2016/10/1,2016/10/1
"140302","140300",公务员,2016/10/1,2016/10/1
"140303","140300",教师资格证,2016/10/1,2016/10/1
"140304","140300",银行/证券培训,2016/10/1,2016/10/1
"140305","140300",司法考试,2016/10/1,2016/10/1
"140306","140300",IT认证,2016/10/1,2016/10/1
"140307","140300",考研培训,2016/10/1,2016/10/1
"140308","140300",成人教育/网络教育,2016/10/1,2016/10/1
"140309","140300",其他,2016/10/1,2016/10/1
"140400","140000",职业技能培训,2016/10/1,2016/10/1
"140401","140400",IT/编程,2016/10/1,2016/10/1
"140402","140400",平面设计/影音制作,2016/10/1,2016/10/1
"140403","140400",电子商务/办公技能,2016/10/1,2016/10/1
"140404","140400",驾驶,2016/10/1,2016/10/1
"140405","140400",其他,2016/10/1,2016/10/1
"140500","140000",兴趣生活,2016/10/1,2016/10/1
"140501","140500",音乐,2016/10/1,2016/10/1
"140502","140500",舞蹈,2016/10/1,2016/10/1
"140503","140500",体育,2016/10/1,2016/10/1
"140504","140500",美术,2016/10/1,2016/10/1
"140505","140500",表演,2016/10/1,2016/10/1
"140506","140500",摄影摄像,2016/10/1,2016/10/1
"140507","140500",其他,2016/10/1,2016/10/1
"140600","140000",留学,2016/10/1,2016/10/1
"140601","140600",留学,2016/10/1,2016/10/1
"140602","140600",旅游,2016/10/1,2016/10/1
"140603","140600",其他,2016/10/1,2016/10/1
"140700","140000",其他,2016/10/1,2016/10/1
"150000","100000",生活服务,2016/10/1,2016/10/1
"150100","150000",家电维修,2016/10/1,2016/10/1
"150200","150000",装修设计,2016/10/1,2016/10/1
"150300","150000",家政服务,2016/10/1,2016/10/1
"150400","150000",家具维修/翻新,2016/10/1,2016/10/1
"150500","150000",搬家,2016/10/1,2016/10/1
"150600","150000",管道疏通,2016/10/1,2016/10/1
"150700","150000",送水站,2016/10/1,2016/10/1
"150800","150000",洗衣,2016/10/1,2016/10/1
"150900","150000",回收,2016/10/1,2016/10/1
"151000","150000",开锁,2016/10/1,2016/10/1
"151100","150000",物流,2016/10/1,2016/10/1
"151200","150000",快递,2016/10/1,2016/10/1
"151300","150000",其他,2016/10/1,2016/10/1
"160000","100000",运动健身,2016/10/1,2016/10/1
"160200","160000",健身,2016/10/1,2016/10/1
"160300","160000",舞蹈,2016/10/1,2016/10/1
"160400","160000",瑜伽,2016/10/1,2016/10/1
"160500","160000",综合体育场馆,2016/10/1,2016/10/1
"160600","160000",篮球场馆,2016/10/1,2016/10/1
"160700","160000",网球馆,2016/10/1,2016/10/1
"160800","160000",乒乓球馆,2016/10/1,2016/10/1
"160900","160000",游泳馆,2016/10/1,2016/10/1
"161000","160000",羽毛球馆,2016/10/1,2016/10/1
"161100","160000",桌球馆,2016/10/1,2016/10/1
"161200","160000",足球场馆,2016/10/1,2016/10/1
